cvss,asset_criticality,internet_exposed,exploit_available,data_sensitivity,security_control_strength,patch_age_days,incident
7.1,1,1,0,3,2,86,0
6.7,1,0,0,4,9,77,0
2.2,4,1,0,10,5,103,0
3.3,7,1,0,4,6,13,0
2.7,2,1,1,10,5,103,1
3.0,7,0,0,10,6,73,0
3.5,2,0,0,5,2,109,0
4.2,6,0,0,4,5,89,0
9.5,2,0,0,4,3,59,0
7.1,9,0,0,1,4,105,1
2.3,6,1,0,4,10,112,0
6.0,8,0,0,4,9,68,0
4.1,10,1,1,7,6,28,1
5.9,1,0,0,3,7,76,0
2.5,7,1,0,9,1,87,0
6.3,5,1,0,7,3,58,0
2.0,5,0,0,2,5,107,0
3.2,3,0,0,8,1,14,0
9.4,5,0,0,10,2,10,0
9.8,9,0,0,8,9,21,0
4.1,10,1,1,9,4,91,1
7.2,8,1,0,4,2,43,1
2.2,9,0,0,1,2,90,0
9.2,6,0,0,5,8,27,0
6.3,10,1,0,8,7,24,1
4.8,7,1,1,1,2,7,1
5.2,6,0,0,4,9,57,0
5.7,2,1,1,9,2,6,1
7.2,9,0,1,4,3,52,1
5.2,1,0,0,7,5,118,0
8.3,8,1,0,9,8,19,1
2.5,9,0,1,1,1,74,1
5.8,9,0,0,9,2,108,1
7.4,4,1,0,10,4,74,1
6.8,10,0,0,10,10,66,0
7.4,6,0,0,3,5,58,0
4.5,2,0,0,10,2,9,0
3.1,6,0,1,6,5,20,0
5.5,9,1,0,9,1,85,1
7.3,3,1,0,2,9,19,0
4.2,10,0,0,4,5,64,0
8.8,2,1,1,1,1,42,1
8.2,5,0,1,9,7,71,1
9.1,3,0,1,10,9,18,0
5.4,1,1,0,1,6,26,0
4.8,9,1,1,3,4,110,1
3.3,3,1,0,6,7,102,0
4.0,3,0,0,1,8,28,0
3.6,8,1,0,4,4,3,0
4.2,2,1,0,9,7,86,0
9.8,9,1,1,2,5,22,1
2.3,10,1,0,6,7,77,0
9.9,2,1,1,4,5,5,1
9.4,9,0,0,2,6,79,0
4.5,2,1,0,7,6,51,0
3.5,7,0,0,5,7,70,0
8.7,5,1,0,10,10,83,1
7.4,9,1,1,3,2,36,1
6.1,10,1,0,4,5,28,1
2.4,8,0,0,10,4,91,0
7.6,8,1,0,1,2,99,1
9.7,9,1,0,4,2,58,1
3.1,8,1,1,8,10,104,1
8.6,9,1,1,8,8,33,1
8.0,5,1,0,5,8,9,0
4.7,9,0,0,4,7,88,0
3.2,4,0,0,6,9,59,0
5.4,10,0,1,10,7,61,1
2.0,6,1,1,7,9,95,0
9.2,8,0,0,8,1,49,0
4.7,7,0,1,3,10,68,0
6.5,1,0,0,3,8,23,0
2.4,7,1,0,6,6,97,0
9.6,7,1,1,8,1,95,1
6.3,6,0,0,1,1,31,0
3.2,3,1,0,10,4,59,0
7.6,6,0,0,2,3,39,0
4.5,7,1,1,4,2,75,1
7.5,4,0,0,5,10,103,0
8.3,6,1,0,2,9,82,1
4.7,7,1,0,6,8,90,0
6.2,5,1,0,10,5,41,1
8.8,2,1,1,4,8,72,1
2.2,6,0,0,6,5,43,0
4.2,10,1,0,9,4,10,1
6.4,4,1,0,8,8,101,1
2.1,5,0,0,4,5,84,0
6.2,7,1,0,8,5,39,0
4.0,2,0,0,9,3,24,0
7.8,9,1,1,4,5,29,1
4.9,5,0,0,3,5,5,0
7.6,3,1,0,1,10,36,0
5.8,8,1,0,1,5,120,1
2.5,8,0,0,1,3,19,0
8.5,5,0,1,2,9,97,0
6.9,9,1,0,8,5,110,1
6.7,7,1,0,1,10,94,1
7.0,5,0,0,3,9,9,0
3.3,7,1,0,8,5,4,0
7.6,8,0,0,5,10,84,0
8.4,4,1,0,4,3,116,1
2.5,5,1,0,8,5,89,0
5.2,5,1,0,10,1,113,1
4.0,2,0,1,10,10,2,0
10.0,5,0,1,3,8,66,0
3.5,10,1,0,8,2,60,0
4.8,6,1,0,3,6,52,0
9.6,9,0,0,6,5,41,0
2.9,7,0,0,9,8,52,0
7.0,8,1,1,4,5,70,1
3.0,5,1,1,8,2,3,1
3.9,3,1,0,9,7,11,0
3.8,2,1,1,3,8,119,0
4.2,8,1,0,9,3,49,0
3.5,10,0,1,5,7,43,1
8.6,5,1,1,10,8,110,1
3.2,9,1,0,9,9,48,0
3.5,4,1,0,7,1,40,0
8.0,7,1,1,3,8,4,1
4.7,2,1,0,8,1,92,1
3.2,3,0,0,5,6,79,0
8.8,9,1,1,8,9,4,1
6.9,4,1,1,2,7,12,1
2.8,3,1,1,1,6,101,0
2.4,6,1,0,4,9,52,0
3.4,2,1,0,4,8,116,0
6.7,4,1,0,8,5,85,1
9.2,9,0,0,6,10,38,0
7.1,7,1,0,5,4,49,1
5.1,6,1,1,5,1,106,1
7.3,5,0,0,1,10,95,0
4.3,4,1,0,4,10,32,0
7.4,3,0,1,1,5,100,0
7.9,2,1,0,7,3,25,1
3.1,9,1,0,5,3,32,1
9.7,5,1,1,8,2,18,1
8.0,4,1,1,9,6,11,1
6.3,8,1,0,5,10,48,0
8.6,6,0,0,8,1,79,1
9.3,4,0,0,8,5,83,0
5.3,3,0,1,5,8,14,0
3.1,8,1,0,9,7,75,1
7.9,3,1,0,8,10,52,0
7.5,4,1,0,4,6,12,0
9.8,6,1,0,5,4,15,1
2.7,4,0,0,6,4,16,0
8.3,4,0,1,9,4,75,1
4.6,3,0,0,3,3,69,0
4.0,3,0,0,1,3,1,0
6.7,1,0,0,3,7,67,0
2.9,2,1,0,6,9,75,0
9.6,1,1,0,1,1,61,1
8.8,7,0,0,8,2,115,1
2.5,5,1,0,10,9,37,0
5.6,10,1,0,2,9,92,1
9.1,7,1,1,7,7,93,1
2.8,7,1,0,6,3,87,0
8.7,2,1,0,6,3,71,1
2.5,9,1,0,7,6,111,0
8.9,1,1,0,6,2,73,0
6.1,3,1,0,2,6,108,0
4.2,4,1,1,10,10,86,1
7.1,1,1,0,5,5,117,0
9.0,10,1,0,1,2,95,1
6.2,7,1,0,3,6,39,0
6.5,2,0,0,10,1,86,0
2.7,8,1,0,8,7,34,0
4.8,2,1,0,10,8,67,0
7.3,1,0,0,10,1,0,0
8.1,5,1,0,1,8,95,1
5.4,3,1,0,4,9,71,0
2.6,1,1,0,2,6,73,0
5.4,7,1,0,7,1,41,1
5.7,6,0,0,2,4,55,0
6.7,9,0,0,5,6,28,0
6.1,2,0,1,6,6,93,0
9.7,3,0,0,5,4,22,0
7.2,3,1,0,10,10,57,0
7.4,10,1,1,6,3,56,1
4.4,5,0,0,2,5,59,0
5.6,1,1,1,2,2,78,1
6.6,1,1,1,10,4,41,1
6.8,9,0,1,8,2,103,1
7.7,9,0,0,8,8,67,0
6.2,3,1,0,5,7,52,0
2.4,6,0,0,9,7,36,0
4.0,10,0,0,10,3,117,0
7.6,7,0,0,2,5,71,1
5.0,6,0,0,9,2,82,0
2.1,5,0,1,6,8,24,0
3.8,3,0,0,2,9,98,0
6.2,6,0,0,3,3,23,0
8.7,10,0,1,1,7,46,1
5.6,5,1,0,4,5,103,0
8.3,4,1,0,10,8,59,1
6.0,7,0,1,10,3,111,1
4.0,8,1,0,2,9,108,0
3.3,8,0,1,2,4,104,0
5.6,6,0,0,7,9,47,0
5.0,1,1,1,6,3,17,1
2.3,8,0,1,8,8,78,0
4.0,3,1,0,5,4,38,0
3.0,4,1,0,10,8,8,0
6.8,1,0,0,5,7,0,0
6.9,4,1,0,2,9,46,0
6.1,9,0,0,8,1,81,1
5.1,6,1,1,6,2,44,1
2.8,10,1,0,6,9,43,0
8.5,3,1,1,8,3,103,1
9.5,1,1,0,4,1,40,1
9.5,9,1,1,9,8,32,1
4.3,1,1,0,6,7,113,0
5.2,8,1,0,3,8,88,0
6.2,2,1,0,10,3,69,0
4.4,2,0,0,5,5,57,0
7.5,6,1,0,6,10,55,0
4.2,1,0,0,7,6,65,0
9.6,3,1,0,2,4,99,0
7.2,6,1,1,1,10,19,0
5.0,2,0,0,7,6,83,0
4.2,2,0,1,8,9,49,0
8.2,8,0,1,5,8,25,1
3.0,2,1,0,8,2,103,0
4.6,6,0,0,5,5,108,0
3.3,3,1,0,2,4,101,0
2.2,9,1,0,9,3,78,1
9.1,2,1,0,8,9,52,0
2.6,6,0,0,9,6,16,0
9.0,9,0,1,3,7,64,1
3.0,3,1,0,6,4,44,0
9.6,9,1,1,5,4,81,1
7.0,10,0,0,3,10,120,0
6.6,3,1,1,10,1,105,1
9.6,10,1,0,10,7,79,1
7.1,8,1,0,5,8,31,1
4.4,2,0,0,7,8,59,0
3.6,10,0,0,6,6,51,0
6.5,6,0,0,5,8,31,0
3.1,1,1,1,10,7,31,1
8.5,10,1,0,3,8,65,1
5.7,5,1,0,7,9,58,0
4.8,1,1,0,8,5,68,0
2.1,2,1,0,5,6,97,0
2.4,9,0,0,5,2,49,0
6.0,9,1,1,10,10,15,1
5.0,6,1,1,4,10,65,1
5.2,1,0,0,6,8,66,0
6.1,6,1,0,10,5,75,1
4.7,9,1,0,5,8,104,1
2.9,7,1,1,1,10,60,0
4.1,10,0,1,10,8,21,0
8.2,7,0,1,4,1,73,1
9.6,2,0,0,6,7,19,0
6.0,10,1,1,1,3,66,1
3.7,6,1,0,6,3,58,0
4.8,5,1,0,4,5,71,0
4.4,5,1,0,8,6,61,0
8.4,5,1,0,9,7,114,1
9.8,6,0,0,5,2,44,1
8.0,4,0,1,5,9,89,0
4.2,2,0,0,9,4,81,0
4.6,8,0,0,3,1,70,0
9.8,3,1,0,8,8,83,1
4.6,1,0,0,4,9,94,0
7.8,1,0,0,3,1,107,0
9.5,5,0,0,10,10,13,0
9.4,6,1,0,9,9,63,1
6.0,5,0,1,6,3,93,1
5.7,5,0,0,6,5,72,0
6.9,7,1,0,2,7,85,0
2.8,3,1,0,4,1,33,0
4.1,6,1,0,10,1,33,1
7.2,4,0,0,8,5,20,0
9.2,5,0,0,5,6,78,0
3.8,3,1,0,10,6,53,0
8.1,4,0,0,10,2,67,0
5.6,6,0,1,2,1,106,0
6.6,3,0,0,9,8,14,0
7.4,10,1,0,9,8,103,1
5.3,10,0,0,5,1,50,0
4.0,1,0,0,1,7,44,0
2.5,2,1,0,7,3,98,0
3.1,7,1,1,7,8,111,1
2.6,9,0,0,6,2,22,0
9.9,7,0,1,4,1,96,1
7.4,9,1,0,4,4,58,1
4.8,5,0,1,2,1,103,0
9.5,1,0,0,2,10,4,0
5.6,1,0,1,7,8,29,0
8.2,3,1,0,10,6,73,1
6.8,6,0,0,3,9,28,0
6.5,10,0,0,7,9,63,0
2.4,6,1,1,6,7,52,1
8.0,8,0,1,5,3,103,1
5.7,1,1,1,9,9,17,0
4.6,2,1,1,2,9,92,0
8.6,1,1,0,10,10,5,0
8.1,9,0,0,6,5,116,0
2.1,4,0,1,8,4,89,0
9.3,9,1,1,7,8,68,1
7.2,5,1,0,8,8,12,0
8.1,6,0,0,7,1,72,0
8.9,3,0,0,10,10,92,0
4.6,7,0,0,6,5,97,0
8.6,8,1,0,6,3,17,1
9.3,9,0,0,2,1,97,0
2.1,3,0,0,3,1,27,0
6.9,10,1,0,1,1,68,1
6.4,1,0,0,5,9,36,0
7.4,3,0,1,9,3,30,1
3.5,9,1,1,5,7,10,0
6.5,4,1,0,2,1,11,0
5.2,7,1,0,1,3,10,0
8.3,10,0,1,1,4,27,1
9.2,10,1,0,2,5,115,1
3.4,6,0,1,10,3,96,0
8.6,7,0,0,10,4,72,1
9.2,6,1,1,3,2,64,1
8.0,6,0,0,4,2,43,0
6.8,6,0,0,8,8,29,0
4.8,7,1,0,10,7,10,0
4.0,2,0,0,7,3,94,0
5.1,6,0,0,5,8,46,0
2.7,7,1,0,9,7,13,0
2.2,6,0,0,6,7,1,0
2.7,9,0,0,3,7,21,0
3.1,5,1,0,2,3,55,0
8.3,6,1,1,8,10,78,1
3.6,2,0,0,7,6,107,0
4.6,6,1,1,10,3,38,1
4.6,4,1,0,7,6,37,0
9.7,4,1,0,7,6,14,0
9.5,4,0,0,9,1,93,0
5.5,5,0,1,7,8,17,0
7.1,4,1,0,7,7,9,0
6.7,9,1,0,6,9,76,1
7.1,2,0,1,6,3,82,0
7.2,7,1,1,7,2,1,1
2.8,4,0,0,7,8,98,0
3.2,1,1,0,7,2,14,0
8.7,3,1,0,8,4,66,0
5.5,8,1,0,1,2,2,0
8.8,2,0,1,4,9,22,0
5.4,8,0,1,3,3,81,1
7.3,7,0,1,4,8,75,1
3.7,5,0,0,9,3,46,0
4.6,8,0,0,8,9,81,0
5.1,2,1,0,8,10,22,0
8.5,5,0,0,6,2,30,0
7.5,9,1,0,3,10,49,1
5.4,8,0,0,8,5,17,0
7.0,6,0,0,4,7,71,0
6.0,8,1,0,7,8,62,1
8.4,4,1,0,4,9,36,1
3.3,8,1,0,2,10,14,0
9.9,9,0,1,8,9,27,1
9.9,2,0,0,1,8,33,0
5.5,2,0,0,10,6,110,0
7.7,7,0,0,4,4,103,1
4.2,9,0,0,5,5,73,0
4.1,9,0,0,7,1,35,0
8.9,4,0,0,4,7,62,0
3.1,5,1,0,2,2,51,0
9.5,6,1,1,6,10,0,1
9.0,2,1,0,6,2,101,1
5.4,4,1,0,5,6,70,0
6.6,10,1,1,1,1,12,1
2.1,3,1,0,7,4,88,0
9.3,5,0,1,5,2,83,1
7.3,3,0,0,5,4,54,0
7.2,2,0,0,2,3,75,0
2.1,6,0,1,7,3,61,1
2.6,7,0,1,2,2,40,0
5.1,3,0,0,10,1,78,0
7.2,8,1,1,3,7,78,1
2.7,2,0,1,10,7,44,0
9.7,6,0,0,2,4,70,0
4.3,1,1,0,10,9,24,0
8.0,5,0,1,4,8,49,1
6.8,9,0,1,6,3,49,1
8.9,10,1,0,3,8,98,1
2.1,4,0,1,7,9,36,0
7.0,9,1,0,7,2,81,1
4.2,5,0,0,4,3,68,0
4.6,10,0,0,7,4,7,0
2.9,10,0,0,3,2,1,0
7.7,1,0,0,6,9,66,0
3.3,3,1,1,2,1,42,0
8.5,5,0,0,10,2,63,0
6.0,10,0,0,5,2,114,1
6.6,2,0,1,1,1,109,1
5.8,7,0,0,1,9,102,0
9.3,7,0,0,7,6,34,0
3.0,1,0,0,9,1,51,0
2.6,8,1,1,5,6,11,0
3.6,10,1,1,4,8,47,1
6.7,8,0,1,9,4,19,1
3.9,6,0,1,1,7,108,0
7.9,5,0,0,4,7,62,1
3.1,5,0,0,4,9,52,0
7.6,6,1,1,2,10,12,0
5.2,10,0,0,3,4,37,0
4.1,6,1,0,6,6,57,0
3.6,10,0,0,3,8,59,0
4.5,2,1,1,4,8,39,0
2.7,5,0,0,6,3,11,0
7.7,6,1,0,5,5,104,1
5.2,8,0,0,2,3,15,0
